,Label,Id_high,cluster_high,degree_high,betweenness_high,closeness_high,eigenvector_high,abundance_high,Id_low,cluster_low,degree_low,betweenness_low,closeness_low,eigenvector_low,abundance_low,Id_pibd,cluster_pibd,degree_pibd,betweenness_pibd,closeness_pibd,eigenvector_pibd,abundance_pibd,phylum
105,Merdimmobilis,51.0,I,0.0372340425531915,0.0111842105263158,0.637326525995149,0.383009306963791,371.0,,,,,,,,45.0,I,0.0265957446808511,0.0,0.555972635398651,0.41062713303521,259.0,Bacillota_A_368345
29,Anaerobutyricum,52.0,II,0.0957446808510638,0.0208333333333333,0.740897513864785,0.0007136049372878,1033.0,49.0,III,0.0478723404255319,0.241393527107813,0.706025981680043,0.344870239004926,1423.0,46.0,I,0.0159574468085106,0.0783950617283951,0.588659112860046,0.27705482217141,342.0,Bacillota_A_368345
34,Angelakisella,53.0,III,0.0053191489361702,0.0,0.329567497460845,0.0004722559418995,133.0,,,,,,,,,,,,,,,Bacillota_A_368345
56,Dorea_A,54.0,II,0.074468085106383,0.0480263157894737,0.714159261198483,0.0005898328151266,2067.0,50.0,III,0.074468085106383,0.164089878375593,0.738539070965245,0.461723083324329,4572.0,47.0,I,0.0585106382978723,0.105246913580247,0.707706867789552,1.0,4137.0,Bacillota_A_368345
128,Ruthenibacterium,55.0,0,0.0,0.0,0.0,0.0,1542.0,51.0,VII,0.0106382978723404,0.0593692022263451,0.483714197772114,0.0346705053387452,716.0,48.0,I,0.0372340425531915,0.0290123456790123,0.601769450026003,0.547468439823605,937.0,Bacillota_A_368345
93,Lachnospira,56.0,I,0.0212765957446809,0.000438596491228,0.569426489602534,0.0485189355076863,547.0,80.0,IV,0.0053191489361702,0.0,0.386737155675446,0.0063840102218988,261.0,49.0,I,0.0159574468085106,0.0246913580246914,0.499938971336571,0.264598649647055,379.0,Bacillota_A_368345
87,Hominimerdicola,57.0,VII,0.0159574468085106,0.0425438596491228,0.571581548925422,0.0279920573429312,1630.0,52.0,III,0.0319148936170213,0.0267985982271697,0.5857358713459,0.119757513860618,2162.0,88.0,I,0.0053191489361702,0.0,0.373264601567335,0.0354552099287129,284.0,Bacillota_A_368345
123,Romboutsia_B,58.0,II,0.0638297872340425,0.0024122807017543,0.669288282671631,0.0004574560163745,8481.0,53.0,II,0.0372340425531915,0.129251700680272,0.662454450431505,0.335380874545124,4116.0,51.0,II,0.0212765957446809,0.169444444444444,0.62062373123437,0.0476355270608022,2242.0,Bacillota_A_368345
1,1_Anaerovoracaceae(F),59.0,II,0.0053191489361702,0.0,0.427254701877132,2.12787206761167e-05,427.0,,,,,,,,,,,,,,,Bacillota_A_368345
100,Lentihominibacter,60.0,II,0.0904255319148936,0.0802631578947368,0.712640897615293,0.0005698316669924,907.0,54.0,III,0.0585106382978723,0.107400535971965,0.688317055070196,0.32162498979194,1323.0,52.0,I,0.0053191489361702,0.0,0.426613357107434,0.0792437690382491,624.0,Bacillota_A_368345
136,Terrisporobacter,61.0,II,0.0372340425531915,0.000219298245614,0.576867781634166,0.0002552097484356,674.0,55.0,II,0.0319148936170213,0.0,0.626132534358466,0.266116709641819,998.0,86.0,II,0.0053191489361702,0.0,0.45153646915416,0.003478219253847,308.0,Bacillota_A_368345
90,Intestinibacter,62.0,II,0.0585106382978723,0.0219298245614035,0.665071181542148,0.0004476708377328,2504.0,56.0,III,0.0478723404255319,0.023294166151309,0.669135157961,0.32448384513007,3082.0,53.0,III,0.0265957446808511,0.0185185185185185,0.622009056803337,0.0447363395616652,1110.0,Bacillota_A_368345
44,CAG-177,63.0,III,0.0372340425531915,0.043640350877193,0.589566575218847,0.140656568737073,1095.0,58.0,I,0.0159574468085106,0.0,0.439968931425491,0.0025048287573368,892.0,54.0,IV,0.0106382978723404,0.0246913580246914,0.372878505378822,0.0106175778805725,158.0,Bacillota_A_368345
