,Source,Target,Type,Weight,Sign,asso,group
109,Granulicatella,Hominicoprocola,Undirected,0.188728143585898,Negative,-0.316324050019168,high_edge
110,Streptococcus,Collinsella,Undirected,0.429077715018087,Positive,0.348095489022062,high_edge
111,Streptococcus,Turicibacter,Undirected,0.454051701700562,Positive,0.403880911167895,high_edge
112,Streptococcus,Alistipes_A_871400,Undirected,0.12118478960536,Negative,-0.544632348041952,high_edge
113,Streptococcus,Eggerthella,Undirected,0.462572628613413,Positive,0.422343640969006,high_edge
114,Streptococcus,Blautia_A_141781,Undirected,0.602151643907738,Positive,0.683433371109369,high_edge
115,Streptococcus,CAG-269,Undirected,0.171567967344516,Negative,-0.372599265459394,high_edge
116,Streptococcus,Hominicoprocola,Undirected,0.1737237659503,Negative,-0.365464829910708,high_edge
117,Streptococcus,Odoribacter_865974,Undirected,0.174679092378603,Negative,-0.362309201114013,high_edge
118,Streptococcus,Phocaeicola_A,Undirected,0.129299557098493,Negative,-0.51623852253776,high_edge
119,Streptococcus,Pauljensenia,Undirected,0.478864846379583,Positive,0.45683630332205,high_edge
120,Streptococcus,Parabacteroides_B_862066,Undirected,0.147454377643011,Negative,-0.453668076400131,high_edge
121,Streptococcus,Vescimonas,Undirected,0.152430689173877,Negative,-0.43674747330854,high_edge
122,Streptococcus,Alistipes_A_871404,Undirected,0.130313864046064,Negative,-0.512707950140975,high_edge
123,Streptococcus,Butyricimonas,Undirected,0.185488566865425,Negative,-0.326857749413878,high_edge
124,Streptococcus,Anaerostipes,Undirected,0.525421170993963,Positive,0.549549870118518,high_edge
125,Streptococcus,Clostridium_T,Undirected,0.551972181111404,Positive,0.598542147003854,high_edge
126,Streptococcus,Barnesiella_B,Undirected,0.140646139491688,Negative,-0.47697811514108,high_edge
127,Streptococcus,Nanosynbacter,Undirected,0.445480345160856,Positive,0.385015904794152,high_edge
128,Streptococcus,1_Chloroplast(C),Undirected,0.411292041742245,Positive,0.306845879767971,high_edge
129,Streptococcus,UBA5905,Undirected,0.149631316051585,Negative,-0.446253797280317,high_edge
130,Streptococcus,Dysosmobacter,Undirected,0.139821005304228,Negative,-0.47981580583166,high_edge
131,Streptococcus,Merdimmobilis,Undirected,0.188843987522103,Negative,-0.315948153158084,high_edge
132,Streptococcus,Anaerobutyricum,Undirected,0.481764054604046,Positive,0.462863009799123,high_edge
133,Streptococcus,Dorea_A,Undirected,0.466842155972851,Positive,0.431485426704645,high_edge
134,Streptococcus,Romboutsia_B,Undirected,0.499588461320166,Positive,0.499176583912161,high_edge
135,Streptococcus,Lentihominibacter,Undirected,0.423850043431156,Positive,0.336102455091439,high_edge
136,Streptococcus,Terrisporobacter,Undirected,0.422541627364142,Positive,0.333083655745494,high_edge
137,Streptococcus,Intestinibacter,Undirected,0.462286663569158,Positive,0.421728735648824,high_edge
138,Streptococcus,CAG-177,Undirected,0.18879145275949,Negative,-0.316118614232118,high_edge
139,Streptococcus,Acetatifactor,Undirected,0.187519587168522,Negative,-0.320248842469618,high_edge
140,Streptococcus,Lawsonibacter,Undirected,0.165634377020328,Negative,-0.392331985620512,high_edge
141,Streptococcus,Blautia_A_141893,Undirected,0.41169807417736,Positive,0.307801688146747,high_edge
142,Streptococcus,Eubacterium_F,Undirected,0.166252833051984,Negative,-0.390268676787686,high_edge
143,Streptococcus,Slackia,Undirected,0.420302420379768,Positive,0.327901432364889,high_edge
144,Streptococcus,Faecousia,Undirected,0.166537791965325,Negative,-0.389318504444071,high_edge
145,Streptococcus,Anaerotardibacter,Undirected,0.423877997277055,Positive,0.336166875957005,high_edge
146,Streptococcus,Parasutterella_564865,Undirected,0.18330818570023,Negative,-0.3339710390885,high_edge
147,Veillonella_A,Agathobaculum,Undirected,0.446864221547351,Positive,0.388081621191163,high_edge
148,Veillonella_A,Ruthenibacterium,Undirected,0.182536946260884,Negative,-0.336491688456961,high_edge
149,Veillonella_A,Lachnospira,Undirected,0.408584478677634,Positive,0.300455362277988,high_edge
150,Veillonella_A,1_Anaerovoracaceae(F),Undirected,0.188855403673885,Negative,-0.315911112298114,high_edge
151,Veillonella_A,Roseburia_A_166204,Undirected,0.490754475973962,Positive,0.481337992518892,high_edge
152,Veillonella_A,Hominilimicola,Undirected,0.408465515174399,Positive,0.300173906524222,high_edge
153,Veillonella_A,Haemophilus_D_735815,Undirected,0.474292421148102,Positive,0.447263083075351,high_edge
154,Veillonella_A,1_Aristaeellaceae(F),Undirected,0.192248350974027,Negative,-0.304925453008358,high_edge
155,Veillonella_A,UMGS1071,Undirected,0.430421662774021,Positive,0.351161035525778,high_edge
156,Collinsella,Blautia_A_141781,Undirected,0.433699683067025,Positive,0.358607902083224,high_edge
157,Collinsella,Anaerotruncus,Undirected,0.174307928398236,Negative,-0.363534794212024,high_edge
158,Collinsella,Anaerobutyricum,Undirected,0.419698422990167,Positive,0.326500159439801,high_edge
