"Label","Id","cluster","degree","betweenness","closeness","eigenvector","abundance","phylum"
"Faecalibacterium",28,1,0.0585106382978723,0.159876543209877,0.698323108138125,0.949999293728936,32826,"Bacillota_A_368345"
"Dialister_36337",29,5,0.0106382978723404,0.0237654320987654,0.419901418061112,0.00108547041216145,540,"Bacillota_C"
"Blautia_A_141781",30,3,0.0531914893617021,0.266049382716049,0.720243311372044,0.130919997765194,10189,"Bacillota_A_368345"
"1_CAG-508(F)",31,8,0,0,0,0,273,"Bacillota_A_368345"
"Hominicoprocola",32,4,0.0212765957446809,0.05,0.479408191290281,0.0755248805379884,323,"Bacillota_A_368345"
"Odoribacter_865974",33,1,0.0159574468085106,0,0.465421684879354,0.145874397879975,221,"Bacteroidota"
"Phocaeicola_A",34,1,0.0531914893617021,0.062037037037037,0.672206520733341,0.935059984588877,14724,"Bacteroidota"
"Eubacterium_R",35,10,0,0,0,0,2430,"Bacillota_A_368345"
"Pauljensenia",36,5,0.0159574468085106,0.000308641975308642,0.480749588050104,0.00430107539994263,289,"Actinomycetota"
"Parabacteroides_B_862066",37,1,0.0319148936170213,0.033641975308642,0.525690192171245,0.288911687646902,1876,"Bacteroidota"
"Vescimonas",38,4,0.0265957446808511,0.0765432098765432,0.542490235301409,0.117640762513576,1089,"Bacillota_A_368345"
"Clostridium_AP_143938",39,3,0.0159574468085106,0.00740740740740741,0.546093769073218,0.0158691403230934,918,"Bacillota_A_368345"
"Anaerostipes",40,3,0.0265957446808511,0.0833333333333333,0.622947120704678,0.077978423118354,2622,"Bacillota_A_368345"
"Agathobaculum",41,1,0.0638297872340425,0.244444444444444,0.725377053673861,0.879202518976858,1097,"Bacillota_A_368345"
"Clostridium_T",42,2,0.0478723404255319,0.202160493827161,0.66524666765895,0.0257811434126422,4866,"Bacillota_A_368345"
"Dysosmobacter",43,1,0.0265957446808511,0.0271604938271605,0.5294235007786,0.336832624240321,575,"Bacillota_A_368345"
"Bariatricus",44,1,0.0265957446808511,0.0827160493827161,0.608310784541993,0.323522746848893,2466,"Bacillota_A_368345"
"Merdimmobilis",45,1,0.0265957446808511,0,0.555972635398651,0.41062713303521,259,"Bacillota_A_368345"
"Anaerobutyricum",46,1,0.0159574468085106,0.0783950617283951,0.588659112860046,0.27705482217141,342,"Bacillota_A_368345"
"Dorea_A",47,1,0.0585106382978723,0.105246913580247,0.707706867789552,1,4137,"Bacillota_A_368345"
"Ruthenibacterium",48,1,0.0372340425531915,0.0290123456790123,0.601769450026003,0.547468439823605,937,"Bacillota_A_368345"
"Lachnospira",49,1,0.0159574468085106,0.0246913580246914,0.499938971336571,0.264598649647055,379,"Bacillota_A_368345"
"Mesorhizobium_I",50,11,0,0,0,0,69,"Pseudomonadota"
"Romboutsia_B",51,2,0.0212765957446809,0.169444444444444,0.62062373123437,0.0476355270608022,2242,"Bacillota_A_368345"
"Lentihominibacter",52,1,0.00531914893617021,0,0.426613357107434,0.0792437690382491,624,"Bacillota_A_368345"
"Intestinibacter",53,3,0.0265957446808511,0.0185185185185185,0.622009056803337,0.0447363395616652,1110,"Bacillota_A_368345"
"CAG-177",54,4,0.0106382978723404,0.0246913580246914,0.372878505378822,0.0106175778805725,158,"Bacillota_A_368345"
"Enterocloster",55,3,0.0372340425531915,0.0395061728395062,0.599972034218673,0.0299453716087091,1609,"Bacillota_A_368345"
"Agathobacter_164117",56,1,0.0372340425531915,0.054320987654321,0.635055914335296,0.716747198806482,2230,"Bacillota_A_368345"
"Roseburia_A_166204",57,3,0.00531914893617021,0,0.405133412998534,0.00320531342973883,1660,"Bacillota_A_368345"
"Lawsonella",58,5,0.00531914893617021,0,0.400240992224568,0.00106451453302836,168,"Actinomycetota"
"Otoolea_134252",59,3,0.0319148936170213,0.0246913580246914,0.564690003957861,0.0233682879391304,150,"Bacillota_A_368345"
"1_Enterobacteriaceae_A_725029(F)",60,5,0.0159574468085106,0,0.469700392190103,0.00359887815063371,46,"Pseudomonadota"
"Schaedlerella",61,2,0.00531914893617021,0,0.454583530445662,0.0210773747084937,546,"Bacillota_A_368345"
"1_Clostridiaceae_222000(F)",62,5,0.0265957446808511,0.0802469135802469,0.574104193876458,0.00930790536988552,1413,"Bacillota_A_368345"
"Finegoldia",63,5,0.00531914893617021,0,0.401876044154572,0.00108326347286888,54,"Bacillota_A_368345"
"Faecalimonas",64,3,0.0265957446808511,0.000308641975308642,0.539447452338379,0.021117157352615,1615,"Bacillota_A_368345"
"Fusobacterium_C",65,5,0.0425531914893617,0.0972222222222222,0.567955854790861,0.00755565822128781,3519,"Fusobacteriota"
"Eisenbergiella",66,6,0.0106382978723404,0.0246913580246914,0.495214527539448,0.124125981203239,844,"Bacillota_A_368345"
"Haemophilus_D_735815",67,5,0.0372340425531915,0.0660493827160494,0.587258371865164,0.00918211527820146,6846,"Pseudomonadota"
"Peptostreptococcus",68,5,0.0106382978723404,0.000617283950617284,0.35139099891653,0.000217641284358746,411,"Bacillota_A_368345"
"Mediterraneibacter_A_155507",69,1,0.0212765957446809,0,0.549135606877869,0.357179093904239,2821,"Bacillota_A_368345"
"Hominilimicola",70,1,0.0265957446808511,0.00987654320987654,0.556447043344798,0.438899714918681,908,"Bacillota_A_368345"
"Sphingomonas_L_486704",71,11,0,0,0,0,99,"Pseudomonadota"
"Sellimonas",72,3,0.0319148936170213,0.0222222222222222,0.602615334446238,0.0426341308436769,749,"Bacillota_A_368345"
"UMGS1071",73,1,0.0265957446808511,0.191666666666667,0.660107203352591,0.389115768272759,664,"Bacillota_A_368345"
"Nanosynbacter",74,5,0.0159574468085106,0.00277777777777778,0.531271347409768,0.00984225846655201,115,"Patescibacteria"
"Lacticaseibacillus",75,9,0,0,0,0,86,"Bacillota_I"
