Label,Id,cluster,degree,betweenness,closeness,eigenvector,abundance,phylum
Bariatricus,49,2,0.0159574468085106,0,0.524700628050382,0.000129138210101191,732,Bacillota_A_368345
2_Oscillospiraceae_88309(F),50,1,0.0106382978723404,0,0.521782634267818,0.0736808715412927,71,Bacillota_A_368345
Merdimmobilis,51,1,0.0372340425531915,0.0111842105263158,0.637326525995149,0.383009306963791,371,Bacillota_A_368345
Anaerobutyricum,52,2,0.0957446808510638,0.0208333333333333,0.740897513864785,0.000713604937287823,1033,Bacillota_A_368345
Angelakisella,53,3,0.00531914893617021,0,0.329567497460845,0.000472255941899531,133,Bacillota_A_368345
Dorea_A,54,2,0.074468085106383,0.0480263157894737,0.714159261198483,0.000589832815126601,2067,Bacillota_A_368345
Ruthenibacterium,55,0,0,0,0,0,1542,Bacillota_A_368345
Lachnospira,56,1,0.0212765957446809,0.00043859649122807,0.569426489602534,0.0485189355076863,547,Bacillota_A_368345
Hominimerdicola,57,7,0.0159574468085106,0.0425438596491228,0.571581548925422,0.0279920573429312,1630,Bacillota_A_368345
Romboutsia_B,58,2,0.0638297872340425,0.00241228070175439,0.669288282671631,0.000457456016374504,8481,Bacillota_A_368345
1_Anaerovoracaceae(F),59,2,0.00531914893617021,0,0.427254701877132,2.12787206761167e-05,427,Bacillota_A_368345
Lentihominibacter,60,2,0.0904255319148936,0.0802631578947368,0.712640897615293,0.000569831666992478,907,Bacillota_A_368345
Terrisporobacter,61,2,0.0372340425531915,0.000219298245614035,0.576867781634166,0.000255209748435619,674,Bacillota_A_368345
Intestinibacter,62,2,0.0585106382978723,0.0219298245614035,0.665071181542148,0.000447670837732887,2504,Bacillota_A_368345
CAG-177,63,3,0.0372340425531915,0.043640350877193,0.589566575218847,0.140656568737073,1095,Bacillota_A_368345
Enterocloster,64,1,0.0265957446808511,0.0282894736842105,0.589936471531827,0.135799983566935,295,Bacillota_A_368345
Roseburia_A_166204,65,1,0.0372340425531915,0.062280701754386,0.59960637173503,0.0495905503915086,2057,Bacillota_A_368345
Acetatifactor,66,1,0.0531914893617021,0.0366228070175439,0.679963641594519,0.441224269283273,874,Bacillota_A_368345
Lawsonibacter,67,1,0.0797872340425532,0.00197368421052632,0.731312892208694,0.769678235925138,348,Bacillota_A_368345
Sellimonas,68,4,0.0106382978723404,0.000657894736842105,0.40834357994872,1.02086376393465e-05,81,Bacillota_A_368345
Ventrisoma,69,8,0.0106382978723404,0,0.485079359780072,0.00577652735199284,349,Bacillota_A_368345
Coprococcus_A_121497,70,6,0.0106382978723404,0.0208333333333333,0.492031762283138,0.0284405519935518,513,Bacillota_A_368345
Eubacterium_F,71,1,0.0425531914893617,0.0280701754385965,0.679169078880417,0.360101953166805,632,Bacillota_A_368345
RUG13077,72,3,0.0106382978723404,0.0208333333333333,0.430437886531142,0.0102310785037897,126,Bacillota_A_368345
