#SampleID	real_age	pred_age	real_year	pred_year
SRR23478215	42.0	72.74153067392966	3.0	5.561794222827472
SRR23478275	162.0	116.68301667939905	13.0	9.223584723283254
SRR23478253	162.0	132.4466904761905	13.0	10.537224206349208
SRR23478211	30.0	41.181949754848716	2.0	2.931829146237393
SRR23478196	18.0	45.69734490871448	1.0	3.3081120757262066
SRR23478191	138.0	60.840338935574216	11.0	4.570028244631184
SRR23478251	90.0	98.55285714285714	7.0	7.712738095238095
SRR23478294	162.0	102.20815151515153	13.0	8.01734595959596
SRR23478274	126.0	117.39345682620876	10.0	9.28278806885073
SRR23478284	138.0	121.15008556149735	11.0	9.595840463458112
SRR23478248	90.0	117.4930285204991	7.0	9.29108571004159
SRR23478278	126.0	113.55525674020869	10.0	8.962938061684058
SRR23478242	162.0	117.39536065383892	13.0	9.282946721153243
SRR23478210	30.0	89.94542572339941	2.0	6.9954521436166175
SRR23478220	210.0	130.94137945083142	17.0	10.411781620902618
SRR23478287	174.0	113.08828006775833	14.0	8.924023338979861
SRR23478229	54.0	66.55251024929663	4.0	5.046042520774719
SRR23478201	30.0	42.290057491528074	2.0	3.0241714576273395
SRR23478252	90.0	96.63294788544789	7.0	7.552745657120658
SRR23478213	150.0	126.35233655513062	12.0	10.029361379594219
SRR23478197	18.0	39.72696225343284	1.0	2.8105801877860697
SRR23478292	138.0	122.25170533547309	11.0	9.687642111289424
SRR23478235	66.0	134.71663157894739	5.0	10.726385964912282
SRR23478259	102.0	125.36576878956285	8.0	9.947147399130237
SRR23478217	42.0	43.6155700965701	3.0	3.134630841380842
SRR23478250	90.0	102.18640476190475	7.0	8.01553373015873
SRR23478241	78.0	74.58413142121037	6.0	5.715344285100865
SRR23478290	186.0	122.94068410021353	15.0	9.745057008351127
SRR23478291	198.0	124.33215329768271	16.0	9.861012774806893
SRR23478289	186.0	117.81013160008204	15.0	9.317510966673504
SRR23478264	162.0	142.8844631508842	13.0	11.407038595907016
SRR23478262	102.0	74.59018258212376	8.0	5.715848548510313
SRR23478236	66.0	74.93451509893616	5.0	5.744542924911347
SRR23478280	138.0	120.05788822941764	11.0	9.504824019118137
SRR23478228	54.0	52.16088007090948	4.0	3.8467400059091235
SRR23478255	102.0	79.08836925819278	8.0	6.090697438182732
SRR23478195	18.0	67.05621283618343	1.0	5.088017736348619
SRR23478273	126.0	142.7162090716301	10.0	11.393017422635841
SRR23478257	102.0	125.66663399510706	8.0	9.972219499592255
SRR23478256	102.0	107.30754851031323	8.0	8.442295709192768
SRR23478260	102.0	107.10661377219274	8.0	8.425551147682729
SRR23478279	126.0	132.85119171190007	10.0	10.57093264265834
SRR23478203	30.0	45.72368118156354	2.0	3.3103067651302953
SRR23478282	138.0	103.86157640398817	11.0	8.155131366999013
SRR23478271	126.0	113.23023882783883	10.0	8.935853235653235
